Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,OK
329.632,8,386,15057,322,335,7,6,1
349.232,7,738,9096,343,355,5,6,1
311.12,6,1429,6880,306,316,4,5,1
293.664,5,1517,3677,291,298,2,5,1
370.0,2,267,364,365,367,4,-2,0
277.184,3,166,342,273,277,3,0,0
392.0,4,97,246,382,402,9,10,0
311.12,9,749,14948,302,318,8,7,1
349.232,6,2877,13609,341,353,7,4,1
329.632,8,871,12159,322,335,7,6,1
293.664,8,1182,11817,287,300,6,7,1
370.0,3,196,238,365,369,4,0,0
277.184,3,167,218,273,277,3,0,0
293.664,6,4264,19437,289,298,4,5,1
349.232,7,1817,17500,339,357,9,8,1
311.12,8,706,14884,302,316,8,5,1
329.632,8,565,14231,324,337,5,8,1
370.0,4,147,344,363,371,6,1,0
277.184,4,166,330,271,279,5,2,0
392.0,2,147,173,384,388,7,-3,0
329.632,6,3315,14499,326,337,3,8,1
311.12,5,2327,9221,306,314,4,3,1
293.664,6,2018,8862,289,298,4,5,1
349.232,7,519,5112,343,355,5,6,1
349.232,8,997,20122,341,355,7,6,1
311.12,7,2719,19253,304,318,6,7,1
329.632,7,1669,11808,324,337,5,8,1
293.664,8,728,10479,287,300,6,7,1
370.0,5,193,543,365,373,4,3,0
277.184,8,200,334,269,283,7,6,0
293.664,7,2930,20010,287,300,6,7,1
329.632,7,1572,16610,322,335,7,6,1
349.232,8,316,6365,339,355,9,6,1
311.12,6,265,866,306,316,4,5,1
370.0,4,248,371,365,371,4,1,0
277.184,8,166,338,269,283,7,6,0
311.12,7,819,18463,306,318,4,7,1
349.232,9,517,15201,339,355,9,6,1
293.664,8,1261,10776,287,300,6,7,1
329.632,8,1018,8773,324,337,5,8,1
277.184,5,504,889,271,281,5,4,0
370.0,4,470,736,363,369,6,0,0
329.632,7,621,17930,324,337,5,8,1
349.232,8,394,15993,341,357,7,8,1
311.12,5,2064,8228,306,314,4,3,1
293.664,5,2227,5397,289,298,4,5,1
370.0,5,370,494,363,371,6,1,0
277.184,5,296,435,271,279,5,2,0
392.0,5,129,256,382,402,9,10,0
415.312,2,116,135,404,406,11,-9,0
196.0,2,99,111,199,201,-3,5,0
293.664,8,843,15698,287,300,6,7,1
311.12,7,544,13786,304,316,6,5,1
349.232,8,203,7012,341,355,7,6,1
329.632,7,428,6872,324,335,5,6,1
370.0,3,418,662,365,369,4,0,0
277.184,4,133,335,271,277,5,0,0
246.944,1,134,134,240,240,6,-6,0
349.232,9,727,21016,339,355,9,6,1
329.632,9,638,19300,322,337,7,8,1
293.664,8,1071,16593,287,300,6,7,1
311.12,8,733,16107,304,318,6,7,1
370.0,3,326,407,365,369,4,0,0
