Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,left,right,OK
195,5,176409,610692,191,199,3,3,434282.93955057,-117379.93565019174,0
123,3,363048,526387,121,125,1,1,-1,-1,0
164,5,131863,484133,160,167,3,3,352270.88687189366,-76185.74669877277,1
126,2,18365,32510,126,128,0,1,-1,-1,0
154,5,6297,15893,150,158,3,3,11608.114598787884,-7277.386401479613,0
119,2,7032,11047,117,119,1,0,-1,-1,0
201,3,7572,10964,201,205,0,3,-1,-1,0
91,3,6785,10684,89,93,1,1,-1,-1,0
169,3,6805,9947,169,173,0,3,-1,-1,0
113,3,6777,9613,111,115,1,1,-1,-1,0
195,5,224100,786447,191,199,3,3,562347.6399945248,-147095.70883998915,0
164,5,208682,785926,160,167,3,3,577244.5781134777,-115733.37860128819,1
123,3,527144,771608,121,125,1,1,-1,-1,0
126,2,25936,45044,126,128,0,1,-1,-1,0
119,2,10385,17915,117,119,1,0,-1,-1,0
169,3,11983,15325,169,173,0,3,-1,-1,0
201,3,10083,14980,201,205,0,3,-1,-1,0
156,4,6032,10770,152,158,3,1,4194.782010548747,-5281.740141984124,0
132,3,6261,10209,130,134,1,1,-1,-1,0
187,4,7594,8928,183,189,3,1,196.13266205206673,-2472.232435705193,0
164,5,176787,663564,160,167,3,3,486776.83330862777,-100403.56858800899,1
195,5,80125,274070,191,199,3,3,193945.40856008846,-54825.58235335047,0
123,3,114227,172139,121,125,1,1,-1,-1,0
207,4,9303,15170,203,208,3,1,1666.7739747174073,-10067.49069250458,0
169,3,11428,14572,169,173,0,3,-1,-1,0
175,3,4050,10632,175,179,0,3,-1,-1,0
91,3,5976,10507,89,93,1,1,-1,-1,0
226,6,1377,10158,220,230,5,3,8683.228947764788,-1470.6610312967132,0
132,3,9773,10136,130,134,1,1,-1,-1,0
103,3,6858,7219,101,105,1,1,-1,-1,0
123,3,576433,847008,121,125,1,1,-1,-1,0
195,5,132665,479742,191,199,3,3,347077.22078926774,-87335.27950505371,0
164,5,49271,174835,160,167,3,3,125564.30178803792,-29606.88718021856,1
126,2,27607,44789,126,128,0,1,-1,-1,0
119,2,12963,21553,117,119,1,0,-1,-1,0
207,5,3659,17250,203,210,3,3,4097.652223988018,-13622.092819415384,0
154,5,5232,14428,150,158,3,3,9196.276444465557,-7124.599603973371,0
201,1,10963,10963,201,201,0,0,-1,-1,0
175,5,2613,9470,171,179,3,3,328.8293155156898,-6856.997094229189,0
113,2,5157,6854,111,113,1,0,-1,-1,0
195,5,224620,804998,191,199,3,3,580377.9867267056,-153052.17297339707,0
164,5,101873,403111,160,167,3,3,301237.77294229704,-55070.71048666176,1
123,3,153790,218357,121,125,1,1,-1,-1,0
207,5,7202,18842,203,210,3,3,6116.562394596973,-15748.434616324716,0
201,1,16283,16283,201,201,0,0,-1,-1,0
126,2,8266,13486,126,128,0,1,-1,-1,0
185,5,3161,10811,181,189,3,3,7650.132919626829,-9330.863767953982,0
91,3,5140,9993,89,93,1,1,-1,-1,0
169,3,4953,9356,169,173,0,3,-1,-1,0
175,3,2928,9109,175,179,0,3,-1,-1,0
164,5,198611,767517,160,167,3,3,568905.8046514234,-113732.85767478053,1
123,3,507059,748316,121,125,1,1,-1,-1,0
195,5,121066,427410,191,199,3,3,306344.0451133775,-84079.66671684419,0
126,2,22858,37344,126,128,0,1,-1,-1,0
207,5,6730,25899,203,210,3,3,6771.440800808734,-19169.192272940447,0
119,2,12300,18539,117,119,1,0,-1,-1,0
169,3,6584,16703,169,173,0,3,-1,-1,0
216,6,3856,14645,212,222,3,5,7577.980223936091,-6953.9385365139915,0
154,5,3453,11440,150,158,3,3,7986.84906565762,-8939.873043367847,0
201,1,8942,8942,201,201,0,0,-1,-1,0
164,5,180658,695452,160,167,3,3,514794.08119316003,-104279.0580584635,1
123,3,380036,558348,121,125,1,1,-1,-1,0
195,5,90684,330013,191,199,3,3,239328.76147215642,-60847.96492802567,0
126,2,17631,29047,126,128,0,1,-1,-1,0
205,5,6045,17529,201,208,3,3,16289.687927804232,-1568.7179658708992,0
169,3,5095,15048,169,173,0,3,-1,-1,0
119,2,9144,14062,117,119,1,0,-1,-1,0
156,4,8490,11458,152,158,3,1,330.91759102331343,-5606.603958905974,0
91,3,7307,9740,89,93,1,1,-1,-1,0
82,3,5124,8378,80,83,1,1,-1,-1,0
195,5,220643,791634,191,199,3,3,570991.2249663513,-149566.58101510862,0
123,3,326751,481697,121,125,1,1,-1,-1,0
164,5,66126,253070,160,167,3,3,186944.3242821608,-37680.02347105293,1
126,2,14285,23643,126,128,0,1,-1,-1,0
205,5,14386,22630,201,208,3,3,21172.12508364261,-2179.4213469614697,0
119,2,7159,11325,117,119,1,0,-1,-1,0
226,6,2479,11147,220,232,5,5,7351.903474298391,-2847.0646748456966,0
103,3,9806,10596,101,105,1,1,-1,-1,0
132,3,6948,9765,130,134,1,1,-1,-1,0
82,3,5000,8989,80,83,1,1,-1,-1,0
123,3,530612,784953,121,125,1,1,-1,-1,0
195,5,153402,555269,191,199,3,3,401867.3802501259,-102165.07371874043,0
164,5,87217,332855,160,167,3,3,245638.22256292743,-53171.14966797858,1
126,2,23917,39109,126,128,0,1,-1,-1,0
119,2,12292,19279,117,119,1,0,-1,-1,0
205,5,10408,15300,201,208,3,3,14423.123074270758,-3711.7988081933418,0
175,5,3965,11347,171,179,3,3,2236.9689805805738,-9193.511351881589,0
154,5,4248,11072,150,158,3,3,6823.440064376735,-820.6435153356942,0
91,3,9195,10926,89,93,1,1,-1,-1,0
134,3,7248,9927,132,136,1,1,-1,-1,0
164,5,189132,729190,160,167,3,3,540058.3421342925,-110745.43273941462,1
